radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.124855,1.04676,15.514,1.38176,12.001,16.4646,1.42107,12.4375
0.315036,1.04039,15.1691,3.85905,6.9785,16.0067,3.2432,6.93936
0.863043,1.55077,14.7688,2.51137,12.8454,15.1449,1.21161,12.0878
0.749957,1.68583,13.1565,4.23871,7.95496,12.8099,2.60085,7.75665
0.694427,1.72226,8.49349,2.15291,12.9388,8.24768,2.40979,14.624
0.709101,2.19804,3.64743,1.84902,13.6205,3.92976,2.26545,15.7602
0.223669,1.01002,3.48613,4.32499,6.913,3.65946,5.31957,6.94281
0.389024,0.798339,2.2043,2.53678,13.8149,1.9929,2.5278,13.0451
0.119936,0.868444,2.05308,4.74304,6.83392,2.78179,5.21546,6.83401
0.415405,0.834548,0.38217,6.36607,3.91011,0.524953,5.95666,4.62318
0.329658,1.10715,0.456708,6.2225,2.53585,0.779635,6.50633,3.55611
0.309142,1.12232,4.49074,4.43133,37.6646,4.56065,4.39302,38.7841
0.202401,1.19955,4.667,2.07555,17.6313,5.85256,2.09235,17.8133
0.622232,1.40135,22.7003,3.17101,7.02341,23.219,3.33764,5.73231
0.508844,1.42373,22,2.68238,7.2434,21.6488,2.84519,8.61349
0.59175,1.11173,20.2771,0.83275,12.3523,20.8784,0.736328,11.4222
0.153408,0.542228,19.9925,1.36791,12.143,19.4581,1.36371,12.0515
0.402458,1.50717,20.9513,3.56678,6.96094,19.4668,3.33441,7.0781
0.413431,1.03156,17.26,1.10214,12.6337,16.7399,1.23219,13.5151
0.391573,1.98845,15.2043,1.63582,12.5794,15.7284,1.76868,14.493
0.251702,0.916643,13.2805,4.67013,6.68247,13.2687,3.75381,6.66152
0.683577,1.03811,7.42374,1.86127,27.3318,7.26083,1.92569,28.355
0.357654,1.01837,10.2002,3.84781,7.05449,10.0505,4.85498,7.03714
0.249886,1.24127,7.35603,1.70674,13.8841,8.00437,1.85974,14.9315
0.652894,1.70097,3.39812,2.63251,16.1016,3.18951,2.06244,14.5126
0.336372,1.12285,2.17482,3.63102,12.4695,2.41398,2.83935,13.229
0.271802,1.07414,1.58988,5.61925,8.04287,1.59272,4.5642,7.84124
0.134936,0.862654,1.18527,5.18105,6.8214,1.07872,6.03544,6.87478
0.223708,1.03487,0.0346025,7.44036,1.18706,0.496386,7.49465,2.1116
0.223872,0.799767,-0.111141,7.89304,0.355438,-0.114932,8.21157,-0.37815
0.831719,1.82701,6.81588,3.09813,25.8547,7.33322,3.09994,27.6069
0.426478,1.7233,4.95796,5.65565,37.8788,4.01066,5.01656,39.1687
0.372679,0.92271,21.0898,1.68308,12.6427,21.1433,1.65116,11.7221
0.132003,0.874231,21.3915,3.23454,6.82579,22.0658,3.78847,6.87712
0.410518,1.4117,18.9875,1.28088,13.4972,19.172,1.15094,12.1037
0.285281,0.995265,17.7915,1.58018,13.101,18.7362,1.63515,13.4094
0.567967,2.13784,16.3511,1.10268,13.5612,18.4369,1.1586,14.0265
0.297548,1.86115,15.2775,1.74929,14.9757,16.4395,1.46356,13.5502
0.245709,1.3729,14.8894,1.51967,14.4268,14.2843,1.92862,13.2643
0.290391,1.28185,14.1572,1.92392,12.796,14.3825,2.52716,13.9044
0.192487,0.803637,14.2713,2.74883,12.4758,14.161,2.24411,11.8602
0.393112,1.59647,13.3959,5.25217,7.10274,13.7984,3.70742,7.08374
0.295359,1.27016,5.45596,5.33051,37.8184,5.20745,5.41632,36.5757
0.138252,0.94751,7.16812,4.48871,32.5771,6.38729,5.02539,32.5699
0.355274,1.01158,10.7926,5.57612,5.12492,11.0965,5.96484,4.24185
0.75391,1.47026,10.2623,4.3543,6.15068,9.61111,5.65738,6.34964
0.519498,1.49989,9.35318,3.43521,13.5002,9.56414,2.43559,12.4021
0.337343,1.57683,8.28197,1.99325,15.878,8.64374,2.08693,14.3461
0.296305,1.00831,8.22854,4.73851,6.87628,8.4258,5.72728,6.88658
0.171889,1.0041,4.19214,1.94592,17.032,3.60622,1.82326,16.2259
0.303534,1.03393,2.99872,2.21919,15.9648,3.35185,2.3608,16.9261
0.269686,0.809813,3.23114,5.92038,6.81897,3.19455,5.11139,6.81931
0.352509,1.55346,0.517848,7.63421,3.55675,0.0373119,6.84068,2.31071
0.447628,1.60714,0.031225,7.83147,-0.00492648,0.873853,7.49647,1.32197
0.316949,0.943486,6.52333,5.43348,33.7503,6.5356,5.39734,34.693
0.220593,0.961394,7.63216,5.73192,32.536,6.69886,5.50817,32.5923
0.60401,2.20997,21.2728,1.50039,11.6202,21.0491,2.66484,13.4852
0.518514,1.24936,20.4612,1.88784,13.7592,20.9909,1.80447,12.6308
0.526539,1.40316,20.2186,1.8432,12.9735,19.8131,2.03029,14.3037
0.432587,1.97852,19.15,1.20561,13.35,19.4195,1.50847,15.2866
0.163344,1.03272,15.7468,4.18504,6.90436,15.3857,5.15236,6.88319
0.343132,1.38432,6.96758,5.92985,32.3202,8.06058,5.08123,32.3593
0.144637,0.847622,12.6592,5.90065,4.00494,12.7633,5.40804,4.68682
0.273185,1.04886,11.1127,6.40866,3.37586,11.2187,7.02902,2.53681
0.255044,2.00471,10.0002,3.79955,7.63044,10.1864,5.66604,8.33783
0.695132,1.3184,8.25199,2.43991,15.4403,7.79336,2.57282,16.6692
0.588823,2.86305,7.51703,1.79676,18.9236,7.18024,1.34125,16.1172
0.95306,1.73755,4.09404,2.69994,16.4186,4.29222,2.93742,18.1284
0.267578,1.38292,2.42229,4.37584,13.3307,2.59995,3.112,13.8632
0.411868,1.59231,1.68629,5.68192,7.62974,2.03456,5.84676,9.17473
0.119194,1.37224,0.887023,7.98162,1.12634,1.6894,7.81336,2.22676
0.331264,1.33032,0.791558,6.63925,4.69194,1.07527,6.9245,5.95997
0.271918,1.6159,1.09694,7.63417,3.19143,0.272858,7.68696,1.80246
0.481823,1.26616,4.12627,5.09269,25.409,3.97899,4.29665,24.4355
0.163511,1.01935,22.559,3.61671,6.92925,21.9166,4.40763,6.90107
0.363795,1.11109,15.1298,1.86061,14.5096,15.0991,2.05857,15.6025
0.506431,1.08138,14.9115,5.46929,7.20825,14.4431,4.49516,7.24092
0.563368,1.18325,13.7924,5.44815,7.37802,14.0259,4.73521,8.29305
0.19495,1.26269,13.006,5.12124,6.57119,13.0913,6.3148,6.9743
0.430301,1.09393,14.4776,3.63689,12.553,14.5697,2.62958,12.9695
0.456426,1.30146,12.2172,6.18976,3.37546,12.1708,7.23641,2.60334
0.36588,1.21209,10.9127,7.63802,1.47844,12.0858,7.37664,1.63555
0.123511,1.79704,8.86055,2.56612,14.976,9.09492,3.50474,13.4616
0.595807,1.33939,8.1733,5.08505,6.31965,8.59109,6.35694,6.36099
0.260844,1.04302,6.52567,1.97155,17.2427,6.54769,2.13227,18.273
0.644507,1.20073,4.19995,6.77573,7.3182,4.249,5.5762,7.34013
0.263123,1.16865,3.51849,2.43654,18.4536,3.26107,2.21436,17.3355
0.13745,1.21218,3.3543,6.13911,6.78375,2.18313,6.45136,6.79919
0.203112,0.840123,2.27429,7.75421,2.46252,2.42702,7.71154,3.28754
0.822802,1.70662,2.31106,8.27937,3.71746,0.831609,8.40236,2.87566
0.243393,0.859285,1.2745,6.98511,6.99063,1.17695,6.1333,7.04779
0.824584,1.09129,1.60832,6.90124,4.50014,1.48655,7.30697,3.49442
0.402859,0.946395,14.0408,3.48267,13.0274,14.2089,4.19794,13.6239
0.525477,1.55413,20.7378,2.72995,14.1496,21.0579,2.27449,12.6986
0.723235,1.03751,21.0737,5.09355,6.03859,21.5925,4.19525,6.05647
0.322602,1.25172,20.8689,2.03777,14.2805,20.539,1.87753,15.4773
0.359123,1.07104,19.5466,5.0897,6.88657,20.5372,4.68358,6.8593
0.380117,1.34255,15.1325,2.0876,15.4818,15.4547,2.11575,16.7848
0.46434,1.23906,14.8642,2.65365,13.8833,15.1382,2.51536,15.0837
0.830703,2.00535,13.89,3.16947,12.8869,14.2633,3.59994,14.8096
0.254467,1.15839,12.6942,6.26058,4.71061,13.0626,6.88442,5.6145
0.333342,1.16589,14.6376,4.36853,13.2558,14.799,5.18892,14.0684
0.286897,1.24626,12.0941,7.57413,1.44659,12.7432,7.45666,2.50396
0.380398,0.964422,11.723,8.35892,-0.181408,11.9134,8.12606,0.734908
0.364361,1.06687,10.2229,6.28475,6.43671,10.3434,5.72929,7.33958
0.589856,1.52428,9.99253,7.1471,5.59965,10.6602,6.42661,4.4341
0.538188,1.53587,10.0644,8.31064,1.7426,11.459,8.05417,1.1525
0.244631,1.50556,9.74443,5.35665,9.26814,10.1511,5.72085,7.86505
0.544562,2.01353,8.01259,2.37674,16.7351,7.8975,2.83002,18.6936
